"","Country","League","Season","Datetime","Home","Away","HG","AG","Res","HAGG","AAGG","AACG","HACG","HTP","ATP","TG","PH","PD","PA"
"41","USA","MLS",2012,2012-04-08,"San Jose Earthquakes","Vancouver Whitecaps",3,1,"H","1.25","0.75","0","0.25","4","6","4","1.83","3.55","5.17"
"42","USA","MLS",2012,2012-04-08,"DC United","Seattle Sounders",0,0,"D","1.25","1.66666666666667","0.666666666666667","1.25","13","8","0","2.41","3.5","3.13"
"43","USA","MLS",2012,2012-04-08,"Real Salt Lake","Colorado Rapids",2,0,"H","1.8","1.75","1.25","0.8","2","5","2","1.89","3.55","4.74"
"44","USA","MLS",2012,2012-04-08,"Portland Timbers","Chivas USA",1,2,"A","1.5","0.25","0.75","1.5","12","16","3","1.84","3.58","5.08"
"45","USA","MLS",2012,2012-04-14,"Philadelphia Union","Columbus Crew",1,0,"H","0.5","1","1.5","1.5","18","12","1","2.12","3.38","3.97"
"46","USA","MLS",2012,2012-04-14,"New England Revolution","DC United",1,2,"A","0.8","1","1","1.2","11","13","3","2.76","3.29","2.82"
"47","USA","MLS",2012,2012-04-14,"Seattle Sounders","Colorado Rapids",1,0,"H","1.25","1.4","1.4","0.5","7","5","1","1.92","3.53","4.66"
"48","USA","MLS",2012,2012-04-14,"Toronto FC","Chivas USA",0,1,"A","0.5","0.6","0.8","2.25","19","10","1","2.45","3.29","3.25"
"49","USA","MLS",2012,2012-04-15,"New York Red Bulls","San Jose Earthquakes",2,2,"D","2.8","1.6","0.4","1.6","5","3","4","1.91","3.65","4.5"
"50","USA","MLS",2012,2012-04-15,"FC Dallas","Montreal Impact",2,1,"H","1.2","0.833333333333333","2","1.6","10","17","3","1.74","3.7","5.67"
"51","USA","MLS",2012,2012-04-15,"Sporting Kansas City","Real Salt Lake",1,0,"H","1.6","1.83333333333333","0.666666666666667","0.2","2","1","1","2.04","3.49","4.08"
"52","USA","MLS",2012,2012-04-15,"Los Angeles Galaxy","Portland Timbers",3,1,"H","1.25","1.4","1.6","2","18","15","4","1.72","3.85","5.55"
"53","USA","MLS",2012,2012-04-16,"Chicago Fire","Houston Dynamo",1,1,"D","0.666666666666667","0.666666666666667","0.666666666666667","1","15","11","2","2.43","3.34","3.23"
"54","USA","MLS",2012,2012-04-19,"DC United","Montreal Impact",1,1,"D","1.16666666666667","0.857142857142857","2","1","9","18","2","1.59","4.13","6.75"
"55","USA","MLS",2012,2012-04-19,"Vancouver Whitecaps","Sporting Kansas City",1,3,"A","0.8","1.5","0.166666666666667","0.6","10","1","4","3.74","3.5","2.13"
"56","USA","MLS",2012,2012-04-21,"Toronto FC","Chicago Fire",2,3,"A","0.4","0.75","1","2","19","15","5","2.76","3.09","2.99"
"57","USA","MLS",2012,2012-04-22,"Columbus Crew","Houston Dynamo",2,2,"D","0.8","0.75","0.75","1.4","15","12","4","2.82","3.34","2.73"
"58","USA","MLS",2012,2012-04-22,"Colorado Rapids","Los Angeles Galaxy",1,2,"A","1.16666666666667","1.6","1.8","1.33333333333333","9","13","3","2.66","3.53","2.77"
"59","USA","MLS",2012,2012-04-22,"Vancouver Whitecaps","FC Dallas",1,0,"H","0.833333333333333","1.33333333333333","1.5","1","11","6","1","2.47","3.38","3.13"
"60","USA","MLS",2012,2012-04-22,"Chivas USA","Philadelphia Union",0,1,"A","0.666666666666667","0.6","1.2","0.666666666666667","8","17","1","1.88","3.69","4.59"
"61","USA","MLS",2012,2012-04-22,"Portland Timbers","Sporting Kansas City",1,0,"H","1.33333333333333","1.71428571428571","0.285714285714286","1.83333333333333","18","1","1","2.97","3.61","2.46"
"62","USA","MLS",2012,2012-04-22,"San Jose Earthquakes","Real Salt Lake",3,1,"H","1.66666666666667","1.57142857142857","0.714285714285714","0.666666666666667","3","2","4","2.67","3.3","2.92"
"63","USA","MLS",2012,2012-04-22,"DC United","New York Red Bulls",4,1,"H","1.14285714285714","2.66666666666667","1.66666666666667","1","7","4","5","2.62","3.65","2.73"
"64","USA","MLS",2012,2012-04-26,"FC Dallas","Real Salt Lake",1,1,"D","1.14285714285714","1.5","1","1.42857142857143","8","3","2","2.65","3.2","3.02"
"65","USA","MLS",2012,2012-04-28,"Montreal Impact","Portland Timbers",2,0,"H","0.875","1.28571428571429","1.57142857142857","1.875","18","15","2","2.35","3.27","3.45"
"66","USA","MLS",2012,2012-04-28,"New York Red Bulls","New England Revolution",1,0,"H","2.42857142857143","0.833333333333333","1.33333333333333","2","8","17","1","1.98","3.47","4.4"
"67","USA","MLS",2012,2012-04-29,"Philadelphia Union","San Jose Earthquakes",1,2,"A","0.666666666666667","1.85714285714286","0.714285714285714","1","15","2","3","3.03","3.27","2.6"
"68","USA","MLS",2012,2012-04-29,"Columbus Crew","Vancouver Whitecaps",0,1,"A","1","0.857142857142857","0.857142857142857","1.5","16","6","1","2.11","3.36","4.01"
"69","USA","MLS",2012,2012-04-29,"DC United","Houston Dynamo",3,2,"H","1.5","1","1","1","5","12","5","2.37","3.33","3.38"
"70","USA","MLS",2012,2012-04-29,"Chicago Fire","Seattle Sounders",1,2,"A","1.2","1.2","0.4","1.2","13","8","3","2.68","3.35","2.85"
"71","USA","MLS",2012,2012-04-29,"Colorado Rapids","Chivas USA",4,0,"H","1.14285714285714","0.571428571428571","0.714285714285714","1.42857142857143","11","10","4","1.95","3.38","4.7"
"72","USA","MLS",2012,2012-04-29,"Real Salt Lake","Toronto FC",3,2,"H","1.44444444444444","0.666666666666667","2.16666666666667","1","3","19","5","1.42","4.91","8.85"
"73","USA","MLS",2012,2012-04-29,"Los Angeles Galaxy","FC Dallas",1,1,"D","1.66666666666667","1.125","1.375","1.66666666666667","9","7","2","1.7","4.01","5.49"
"74","USA","MLS",2012,2012-05-03,"New England Revolution","Colorado Rapids",2,1,"H","0.714285714285714","1.5","1.25","1.28571428571429","18","8","3","2.24","3.53","3.43"
"75","USA","MLS",2012,2012-05-03,"Seattle Sounders","Los Angeles Galaxy",2,0,"H","1.33333333333333","1.57142857142857","1.57142857142857","0.5","6","10","2","1.78","3.72","5.33"
"76","USA","MLS",2012,2012-05-03,"San Jose Earthquakes","DC United",5,3,"H","1.875","1.66666666666667","1.11111111111111","0.75","2","4","8","1.85","3.76","4.71"
"77","USA","MLS",2012,2012-05-05,"Chivas USA","Chicago Fire",1,2,"A","0.5","1.16666666666667","1.33333333333333","1.125","12","14","3","2.59","3.55","2.84"
"78","USA","MLS",2012,2012-05-05,"Toronto FC","DC United",0,2,"A","0.857142857142857","1.8","1.5","2.28571428571429","19","5","2","2.63","3.33","2.94"
"79","USA","MLS",2012,2012-05-05,"Seattle Sounders","Philadelphia Union",1,0,"H","1.42857142857143","0.714285714285714","1.14285714285714","0.428571428571429","4","16","1","1.58","4.08","6.91"
"80","USA","MLS",2012,2012-05-06,"Vancouver Whitecaps","San Jose Earthquakes",2,1,"H","0.875","2.22222222222222","1","0.75","6","1","3","2.97","3.41","2.56"
