"","Country","League","Season","Datetime","Home","Away","HG","AG","Res","HAGG","AAGG","AACG","HACG","HTP","ATP","TG","PH","PD","PA"
"808","USA","MLS",2014,2014-06-08,"FC Dallas","Colorado Rapids",3,2,"H","1.53333333333333","1.35714285714286","1.07142857142857","1.6","10","5","5","2.28","3.5","3.33"
"809","USA","MLS",2014,2014-06-08,"Real Salt Lake","Portland Timbers",1,3,"A","1.71428571428571","1.64285714285714","1.71428571428571","1.28571428571429","2","14","4","2.11","3.6","3.67"
"810","USA","MLS",2014,2014-06-08,"New England Revolution","New York Red Bulls",0,2,"A","1.61538461538462","1.42857142857143","1.57142857142857","1.23076923076923","3","15","2","1.97","3.66","4.09"
"811","USA","MLS",2014,2014-06-09,"Los Angeles Galaxy","Chivas USA",1,1,"D","1.36363636363636","1","1.92307692307692","0.909090909090909","14","19","2","1.48","4.61","7.58"
"812","USA","MLS",2014,2014-06-12,"Montreal Impact","DC United",2,4,"A","0.916666666666667","1.28571428571429","1","1.83333333333333","19","5","6","1.94","3.87","3.98"
"813","USA","MLS",2014,2014-06-12,"Portland Timbers","FC Dallas",2,2,"D","1.73333333333333","1.625","1.625","1.66666666666667","10","8","4","1.87","3.83","4.38"
"814","USA","MLS",2014,2014-06-26,"Vancouver Whitecaps","Montreal Impact",0,0,"D","1.92307692307692","1","2","1.53846153846154","8","19","0","1.57","4.5","5.98"
"815","USA","MLS",2014,2014-06-28,"New York Red Bulls","Toronto FC",2,2,"D","1.46666666666667","1.36363636363636","1.18181818181818","1.46666666666667","12","10","4","1.79","3.96","4.69"
"816","USA","MLS",2014,2014-06-28,"Portland Timbers","Sporting Kansas City",0,1,"A","1.75","1.4","0.933333333333333","1.6875","9","5","1","2.28","3.47","3.36"
"817","USA","MLS",2014,2014-06-29,"DC United","Seattle Sounders",0,1,"A","1.46666666666667","2.13333333333333","1.53333333333333","1.06666666666667","3","1","1","2.8","3.48","2.63"
"818","USA","MLS",2014,2014-06-29,"New England Revolution","Philadelphia Union",1,3,"A","1.5","1.375","1.6875","1.28571428571429","5","16","4","1.86","3.75","4.51"
"819","USA","MLS",2014,2014-06-29,"Colorado Rapids","Vancouver Whitecaps",2,0,"H","1.4","1.78571428571429","1.42857142857143","1.2","7","6","2","2.13","3.59","3.61"
"820","USA","MLS",2014,2014-06-29,"Chivas USA","Real Salt Lake",1,0,"H","1","1.66666666666667","1.4","1.85714285714286","18","4","1","3.09","3.54","2.39"
"821","USA","MLS",2014,2014-06-29,"San Jose Earthquakes","Los Angeles Galaxy",0,1,"A","1.15384615384615","1.33333333333333","0.916666666666667","1.07692307692308","15","13","1","3.81","3.3","2.18"
"822","USA","MLS",2014,2014-06-29,"Columbus Crew","FC Dallas",0,0,"D","1.2","1.64705882352941","1.64705882352941","1.2","12","8","0","2.05","3.61","3.84"
"823","USA","MLS",2014,2014-06-30,"Montreal Impact","Houston Dynamo",3,0,"H","0.928571428571429","1","1.8125","1.85714285714286","19","15","3","1.98","3.73","3.96"
"824","USA","MLS",2014,2014-07-03,"Chicago Fire","Toronto FC",1,1,"D","1.57142857142857","1.41666666666667","1.25","1.78571428571429","17","10","2","2.25","3.63","3.27"
"825","USA","MLS",2014,2014-07-03,"San Jose Earthquakes","Chivas USA",0,1,"A","1.07142857142857","1","1.73333333333333","1.07142857142857","16","19","1","2.06","3.43","4.02"
"826","USA","MLS",2014,2014-07-05,"Houston Dynamo","New York Red Bulls",2,2,"D","0.941176470588235","1.5","1.5","1.88235294117647","16","13","4","3.02","3.57","2.42"
"827","USA","MLS",2014,2014-07-05,"FC Dallas","Philadelphia Union",2,1,"H","1.55555555555556","1.47058823529412","1.64705882352941","1.55555555555556","7","14","3","2.25","3.62","3.27"
"828","USA","MLS",2014,2014-07-05,"Colorado Rapids","Columbus Crew",1,1,"D","1.4375","1.125","1.125","1.125","3","12","2","1.83","3.77","4.72"
"829","USA","MLS",2014,2014-07-05,"Real Salt Lake","New England Revolution",2,1,"H","1.5625","1.46666666666667","1.4","1.375","5","6","3","2.29","3.59","3.22"
"830","USA","MLS",2014,2014-07-05,"Los Angeles Galaxy","Portland Timbers",2,2,"D","1.30769230769231","1.64705882352941","1.64705882352941","0.846153846153846","10","11","4","1.64","4.16","5.75"
"831","USA","MLS",2014,2014-07-06,"Toronto FC","DC United",1,2,"A","1.38461538461538","1.375","1.0625","1.23076923076923","10","6","3","2.05","3.42","4.06"
"832","USA","MLS",2014,2014-07-06,"Vancouver Whitecaps","Seattle Sounders",1,0,"H","1.66666666666667","2.0625","1.4375","1.46666666666667","8","1","1","2.59","3.71","2.71"
"833","USA","MLS",2014,2014-07-06,"Chivas USA","Montreal Impact",1,0,"H","1","1.06666666666667","1.73333333333333","1.625","16","19","1","2.62","3.4","2.85"
"834","USA","MLS",2014,2014-07-06,"Sporting Kansas City","Chicago Fire",1,1,"D","1.375","1.53333333333333","1.73333333333333","0.875","5","18","2","1.83","3.78","4.63"
"835","USA","MLS",2014,2014-07-12,"San Jose Earthquakes","DC United",1,2,"A","1","1.41176470588235","1.05882352941176","1.06666666666667","17","2","3","2.05","3.58","3.88"
"836","USA","MLS",2014,2014-07-13,"New York Red Bulls","Columbus Crew",4,1,"H","1.52941176470588","1.11764705882353","1.11764705882353","1.52941176470588","13","12","5","1.89","3.98","4.1"
"837","USA","MLS",2014,2014-07-13,"Philadelphia Union","Colorado Rapids",3,3,"D","1.44444444444444","1.41176470588235","1.11764705882353","1.66666666666667","15","5","6","2.24","3.54","3.38"
"838","USA","MLS",2014,2014-07-13,"Toronto FC","Houston Dynamo",4,2,"H","1.35714285714286","1","1.88888888888889","1.28571428571429","10","16","6","1.81","3.68","4.95"
"839","USA","MLS",2014,2014-07-13,"Montreal Impact","Sporting Kansas City",1,2,"A","1","1.35294117647059","0.882352941176471","1.6875","19","4","3","3.14","3.3","2.48"
"840","USA","MLS",2014,2014-07-13,"New England Revolution","Chicago Fire",0,1,"A","1.4375","1.5","1.6875","1.4375","8","18","1","2.01","3.69","3.93"
"841","USA","MLS",2014,2014-07-13,"Vancouver Whitecaps","Chivas USA",1,3,"A","1.625","1","1.52941176470588","1.375","7","14","4","1.74","3.92","5.18"
"842","USA","MLS",2014,2014-07-13,"Los Angeles Galaxy","Real Salt Lake",1,0,"H","1.35714285714286","1.58823529411765","1.35294117647059","0.928571428571429","9","3","1","1.85","3.75","4.57"
"843","USA","MLS",2014,2014-07-14,"Seattle Sounders","Portland Timbers",2,0,"H","1.94117647058824","1.66666666666667","1.66666666666667","1.41176470588235","1","13","2","1.78","3.89","4.89"
"844","USA","MLS",2014,2014-07-17,"Philadelphia Union","New York Red Bulls",3,1,"H","1.52631578947368","1.66666666666667","1.5","1.73684210526316","16","10","4","2.73","3.6","2.62"
"845","USA","MLS",2014,2014-07-17,"Columbus Crew","Sporting Kansas City",1,2,"A","1.11111111111111","1.38888888888889","0.888888888888889","1.27777777777778","14","3","3","2.89","3.28","2.66"
"846","USA","MLS",2014,2014-07-17,"Toronto FC","Vancouver Whitecaps",1,1,"D","1.53333333333333","1.58823529411765","1.47058823529412","1.33333333333333","9","7","2","2","3.57","3.97"
"847","USA","MLS",2014,2014-07-17,"Los Angeles Galaxy","New England Revolution",5,1,"H","1.33333333333333","1.35294117647059","1.41176470588235","0.866666666666667","8","11","6","1.64","4.09","5.83"
"848","USA","MLS",2014,2014-07-19,"Portland Timbers","Colorado Rapids",2,1,"H","1.57894736842105","1.5","1.22222222222222","1.68421052631579","14","6","3","2.04","3.84","3.64"
"849","USA","MLS",2014,2014-07-19,"Sporting Kansas City","Los Angeles Galaxy",2,1,"H","1.42105263157895","1.5625","0.875","0.894736842105263","2","5","3","2.47","3.25","3.19"
"850","USA","MLS",2014,2014-07-20,"New York Red Bulls","San Jose Earthquakes",1,1,"D","1.63157894736842","1","1.125","1.57894736842105","11","18","2","1.7","4.15","5.12"
"851","USA","MLS",2014,2014-07-20,"Columbus Crew","Montreal Impact",2,1,"H","1.10526315789474","1","1.70588235294118","1.31578947368421","15","19","3","1.89","3.78","4.3"
"852","USA","MLS",2014,2014-07-20,"Chicago Fire","Philadelphia Union",1,1,"D","1.47058823529412","1.6","1.7","1.58823529411765","16","14","2","1.97","3.62","4.14"
"853","USA","MLS",2014,2014-07-20,"FC Dallas","New England Revolution",2,0,"H","1.57894736842105","1.33333333333333","1.61111111111111","1.52631578947368","8","12","2","2.04","3.69","3.78"
"854","USA","MLS",2014,2014-07-20,"Houston Dynamo","Toronto FC",2,2,"D","1.05263157894737","1.5","1.3125","2","17","9","4","2.5","3.52","2.94"
"855","USA","MLS",2014,2014-07-20,"Real Salt Lake","Vancouver Whitecaps",1,1,"D","1.5","1.55555555555556","1.44444444444444","1.33333333333333","4","7","2","1.99","3.47","4.26"
"856","USA","MLS",2014,2014-07-21,"DC United","Chivas USA",3,1,"H","1.44444444444444","1.11111111111111","1.5","1.05555555555556","3","15","4","1.82","3.67","4.91"
"857","USA","MLS",2014,2014-07-24,"San Jose Earthquakes","Chicago Fire",5,1,"H","1","1.44444444444444","1.55555555555556","1.11764705882353","18","16","6","2.27","3.58","3.27"
"858","USA","MLS",2014,2014-07-25,"Real Salt Lake","Montreal Impact",3,1,"H","1.47368421052632","1","1.72222222222222","1.31578947368421","4","19","4","1.68","4.17","5.3"
"859","USA","MLS",2014,2014-07-26,"Colorado Rapids","Chivas USA",3,0,"H","1.47368421052632","1.10526315789474","1.57894736842105","1.26315789473684","7","15","3","1.65","4.06","5.8"
"860","USA","MLS",2014,2014-07-27,"Toronto FC","Sporting Kansas City",1,2,"A","1.52941176470588","1.45","0.9","1.35294117647059","9","2","3","3.04","3.49","2.43"
"861","USA","MLS",2014,2014-07-27,"New England Revolution","Columbus Crew",1,2,"A","1.26315789473684","1.15","1.3","1.63157894736842","14","13","3","2.37","3.4","3.23"
"862","USA","MLS",2014,2014-07-27,"Vancouver Whitecaps","FC Dallas",2,2,"D","1.52631578947368","1.6","1.45","1.42105263157895","8","6","4","2.18","3.42","3.64"
"863","USA","MLS",2014,2014-07-28,"Montreal Impact","Portland Timbers",2,3,"A","1","1.6","1.65","1.78947368421053","19","12","5","2.54","3.47","2.91"
"864","USA","MLS",2014,2014-07-29,"Seattle Sounders","Los Angeles Galaxy",0,3,"A","1.94444444444444","1.52941176470588","0.941176470588235","1.33333333333333","2","8","3","2.45","3.65","2.9"
"865","USA","MLS",2014,2014-07-31,"DC United","Toronto FC",3,0,"H","1.52631578947368","1.5","1.38888888888889","1.05263157894737","3","10","3","2.79","3.34","2.72"
"866","USA","MLS",2014,2014-07-31,"New England Revolution","Colorado Rapids",3,0,"H","1.25","1.55","1.2","1.65","14","6","3","2.11","3.57","3.7"
"867","USA","MLS",2014,2014-07-31,"Chicago Fire","Vancouver Whitecaps",0,0,"D","1.42105263157895","1.55","1.45","1.73684210526316","17","8","0","2.2","3.48","3.52"
"868","USA","MLS",2014,2014-07-31,"Real Salt Lake","New York Red Bulls",1,1,"D","1.55","1.6","1.55","1.3","4","12","2","1.98","3.78","3.91"
"869","USA","MLS",2014,2014-08-02,"Sporting Kansas City","Philadelphia Union",1,1,"D","1.47619047619048","1.57142857142857","1.66666666666667","0.904761904761905","1","14","2","1.79","3.97","4.61"
"870","USA","MLS",2014,2014-08-02,"Los Angeles Galaxy","Portland Timbers",3,1,"H","1.61111111111111","1.66666666666667","1.66666666666667","0.888888888888889","5","9","4","1.59","4.28","6.14"
"871","USA","MLS",2014,2014-08-02,"Montreal Impact","Toronto FC",0,2,"A","1.05","1.42105263157895","1.47368421052632","1.85","19","10","2","2.33","3.51","3.21"
"872","USA","MLS",2014,2014-08-03,"New York Red Bulls","New England Revolution",2,1,"H","1.57142857142857","1.33333333333333","1.57142857142857","1.52380952380952","13","12","3","2.08","3.6","3.75"
"873","USA","MLS",2014,2014-08-03,"Chicago Fire","Columbus Crew",1,1,"D","1.35","1.19047619047619","1.28571428571429","1.65","16","11","2","2.2","3.52","3.48"
"874","USA","MLS",2014,2014-08-03,"Colorado Rapids","Real Salt Lake",0,1,"A","1.47619047619048","1.52380952380952","1.28571428571429","1.28571428571429","6","5","1","2.29","3.36","3.41"
"875","USA","MLS",2014,2014-08-03,"San Jose Earthquakes","Seattle Sounders",1,0,"H","1.22222222222222","1.84210526315789","1.42105263157895","1.11111111111111","17","2","1","2.69","3.53","2.7"
"876","USA","MLS",2014,2014-08-04,"Houston Dynamo","DC United",1,0,"H","1.1","1.6","1","2","18","3","1","1.97","3.85","3.88"
"877","USA","MLS",2014,2014-08-04,"Chivas USA","FC Dallas",0,1,"A","1.05","1.61904761904762","1.47619047619048","1.65","16","7","1","3.7","3.71","2.06"
"878","USA","MLS",2014,2014-08-09,"Los Angeles Galaxy","San Jose Earthquakes",2,2,"D","1.68421052631579","1.21052631578947","1.05263157894737","0.894736842105263","5","15","4","1.61","4.24","5.92"
"879","USA","MLS",2014,2014-08-10,"Philadelphia Union","Montreal Impact",2,1,"H","1.54545454545455","1","1.85714285714286","1.63636363636364","15","19","3","1.77","4.01","4.75"
"880","USA","MLS",2014,2014-08-10,"Columbus Crew","Toronto FC",2,3,"A","1.18181818181818","1.45","1.4","1.27272727272727","11","9","5","2.13","3.53","3.68"
"881","USA","MLS",2014,2014-08-10,"FC Dallas","Colorado Rapids",3,1,"H","1.59090909090909","1.40909090909091","1.27272727272727","1.40909090909091","6","7","4","2.22","3.61","3.36"
"882","USA","MLS",2014,2014-08-10,"Real Salt Lake","DC United",3,0,"H","1.5","1.52380952380952","1","1.22727272727273","4","3","3","1.97","3.58","4.21"
"883","USA","MLS",2014,2014-08-10,"Portland Timbers","Chivas USA",2,0,"H","1.63636363636364","1","1.61904761904762","1.72727272727273","12","16","2","1.44","4.84","7.93"
"884","USA","MLS",2014,2014-08-11,"Chicago Fire","New York Red Bulls",1,0,"H","1.33333333333333","1.59090909090909","1.5","1.61904761904762","17","11","1","2.32","3.54","3.23"
"885","USA","MLS",2014,2014-08-11,"Vancouver Whitecaps","Sporting Kansas City",2,0,"H","1.47619047619048","1.45454545454545","0.909090909090909","1.38095238095238","10","1","2","2.39","3.48","3.13"
"886","USA","MLS",2014,2014-08-11,"Seattle Sounders","Houston Dynamo",2,0,"H","1.75","1.0952380952381","1.9047619047619","1.4","3","18","2","1.71","4.02","5.22"
"887","USA","MLS",2014,2014-08-16,"Houston Dynamo","Philadelphia Union",2,0,"H","1.04545454545455","1.56521739130435","1.60869565217391","1.90909090909091","18","12","2","1.89","3.81","4.28"
"888","USA","MLS",2014,2014-08-16,"Real Salt Lake","Seattle Sounders",2,1,"H","1.56521739130435","1.76190476190476","1.33333333333333","1.17391304347826","3","1","3","2.41","3.4","3.16"
"889","USA","MLS",2014,2014-08-16,"Montreal Impact","Chicago Fire",1,0,"H","1","1.31818181818182","1.54545454545455","1.86363636363636","19","15","1","2.22","3.68","3.29"
"890","USA","MLS",2014,2014-08-17,"Columbus Crew","Los Angeles Galaxy",4,1,"H","1.21739130434783","1.7","0.95","1.34782608695652","12","6","5","3.69","3.63","2.11"
"891","USA","MLS",2014,2014-08-17,"New England Revolution","Portland Timbers",1,1,"D","1.31818181818182","1.65217391304348","1.65217391304348","1.59090909090909","14","10","2","2.14","3.47","3.71"
"892","USA","MLS",2014,2014-08-17,"Sporting Kansas City","Toronto FC",4,1,"H","1.39130434782609","1.52380952380952","1.42857142857143","0.956521739130435","3","8","5","1.89","3.65","4.48"
"893","USA","MLS",2014,2014-08-17,"Chivas USA","Vancouver Whitecaps",0,0,"D","0.954545454545455","1.5","1.31818181818182","1.63636363636364","18","7","0","4.11","3.28","2.1"
"894","USA","MLS",2014,2014-08-17,"San Jose Earthquakes","FC Dallas",0,5,"A","1.25","1.65217391304348","1.39130434782609","1.1","17","5","5","1.96","3.71","4.07"
"895","USA","MLS",2014,2014-08-18,"DC United","Colorado Rapids",4,2,"H","1.45454545454545","1.39130434782609","1.34782608695652","1.09090909090909","5","10","6","2.78","3.25","2.8"
"896","USA","MLS",2014,2014-08-21,"Colorado Rapids","Los Angeles Galaxy",3,4,"A","1.41666666666667","1.66666666666667","1.0952380952381","1.45833333333333","11","6","7","3.38","3.49","2.26"
"897","USA","MLS",2014,2014-08-21,"Seattle Sounders","San Jose Earthquakes",1,1,"D","1.72727272727273","1.19047619047619","1.28571428571429","1.36363636363636","3","17","2","1.54","4.34","6.83"
"898","USA","MLS",2014,2014-08-23,"FC Dallas","Real Salt Lake",2,1,"H","1.79166666666667","1.58333333333333","1.16666666666667","1.33333333333333","5","2","3","2.13","3.45","3.75"
"899","USA","MLS",2014,2014-08-24,"New York Red Bulls","Montreal Impact",4,2,"H","1.52173913043478","1","1.78260869565217","1.47826086956522","12","19","6","1.56","4.84","5.65"
"900","USA","MLS",2014,2014-08-24,"Toronto FC","Chicago Fire",2,2,"D","1.5","1.26086956521739","1.52173913043478","1.54545454545455","8","16","4","1.74","3.78","5.36"
"901","USA","MLS",2014,2014-08-24,"Columbus Crew","Houston Dynamo",3,0,"H","1.33333333333333","1.08695652173913","1.82608695652174","1.33333333333333","10","17","3","1.93","3.66","4.29"
"902","USA","MLS",2014,2014-08-24,"New England Revolution","Chivas USA",1,0,"H","1.30434782608696","0.91304347826087","1.56521739130435","1.56521739130435","14","18","1","1.52","4.55","6.84"
"903","USA","MLS",2014,2014-08-24,"Sporting Kansas City","DC United",0,3,"A","1.5","1.56521739130435","1.1304347826087","0.958333333333333","1","5","3","1.69","3.97","5.5"
"904","USA","MLS",2014,2014-08-24,"Los Angeles Galaxy","Vancouver Whitecaps",2,0,"H","1.77272727272727","1.43478260869565","1.26086956521739","1.18181818181818","6","7","2","1.57","4.29","6.42"
"905","USA","MLS",2014,2014-08-24,"Portland Timbers","Seattle Sounders",2,4,"A","1.625","1.69565217391304","1.34782608695652","1.625","9","4","6","2.45","3.54","2.99"
"906","USA","MLS",2014,2014-08-25,"Philadelphia Union","San Jose Earthquakes",4,2,"H","1.5","1.18181818181818","1.27272727272727","1.625","14","16","6","1.89","3.66","4.46"
"907","USA","MLS",2014,2014-08-28,"Los Angeles Galaxy","DC United",4,1,"H","1.78260869565217","1.625","1.08333333333333","1.1304347826087","6","2","5","1.49","4.62","7.4"
"908","USA","MLS",2014,2014-08-30,"Sporting Kansas City","Houston Dynamo",1,3,"A","1.44","1.04166666666667","1.875","1.04","5","17","4","1.79","4.11","4.5"
"909","USA","MLS",2014,2014-08-30,"Seattle Sounders","Colorado Rapids",1,0,"H","1.79166666666667","1.48","1.56","1.375","1","13","1","1.55","4.61","6.16"
"910","USA","MLS",2014,2014-08-30,"Toronto FC","New England Revolution",0,3,"A","1.52173913043478","1.29166666666667","1.5","1.56521739130435","9","14","3","2.09","3.63","3.69"
"911","USA","MLS",2014,2014-08-31,"Montreal Impact","Columbus Crew",2,0,"H","1.04166666666667","1.4","1.28","1.875","19","7","2","2.72","3.57","2.65"
"912","USA","MLS",2014,2014-08-31,"Chicago Fire","FC Dallas",1,0,"H","1.29166666666667","1.8","1.32","1.54166666666667","16","4","1","2.37","3.62","3.06"
"913","USA","MLS",2014,2014-08-31,"San Jose Earthquakes","Real Salt Lake",1,1,"D","1.21739130434783","1.56","1.2","1.39130434782609","17","5","2","2.96","3.35","2.57"
"914","USA","MLS",2014,2014-08-31,"Vancouver Whitecaps","Portland Timbers",0,3,"A","1.375","1.64","1.72","1.29166666666667","8","12","3","2.14","3.47","3.71"
"915","USA","MLS",2014,2014-08-31,"DC United","New York Red Bulls",2,0,"H","1.6","1.625","1.5","1.2","3","11","2","2.63","3.47","2.81"
"916","USA","MLS",2014,2014-09-01,"Chivas USA","Los Angeles Galaxy",0,3,"A","0.875","1.875","1.125","1.54166666666667","18","3","3","7.76","5.05","1.43"
"917","USA","MLS",2014,2014-09-04,"Philadelphia Union","Toronto FC",1,0,"H","1.6","1.45833333333333","1.625","1.64","13","11","1","2.37","3.58","3.09"
"918","USA","MLS",2014,2014-09-04,"New England Revolution","Sporting Kansas City",3,1,"H","1.36","1.42307692307692","1.11538461538462","1.44","10","6","4","2.16","3.49","3.62"
"919","USA","MLS",2014,2014-09-04,"Chivas USA","Seattle Sounders",2,4,"A","0.84","1.76","1.32","1.6","18","1","6","6.59","4.33","1.56"
"920","USA","MLS",2014,2014-09-06,"Los Angeles Galaxy","Colorado Rapids",6,0,"H","1.92","1.42307692307692","1.53846153846154","1.08","2","14","6","1.42","5.31","7.42"
"921","USA","MLS",2014,2014-09-06,"Toronto FC","Philadelphia Union",0,2,"A","1.4","1.57692307692308","1.57692307692308","1.6","12","10","2","2.1","3.66","3.62"
"922","USA","MLS",2014,2014-09-07,"New York Red Bulls","Sporting Kansas City",2,1,"H","1.56","1.40740740740741","1.18518518518519","1.52","13","6","3","2.05","3.83","3.62"
"923","USA","MLS",2014,2014-09-07,"Houston Dynamo","Montreal Impact",3,2,"H","1.12","1.08","1.8","1.84","16","19","5","1.79","4.1","4.51"
"924","USA","MLS",2014,2014-09-07,"Real Salt Lake","FC Dallas",2,1,"H","1.53846153846154","1.73076923076923","1.30769230769231","1.19230769230769","4","5","3","2.12","3.53","3.7"
"925","USA","MLS",2014,2014-09-07,"Vancouver Whitecaps","DC United",0,0,"D","1.32","1.61538461538462","1.15384615384615","1.36","11","3","0","1.76","3.75","5.22"
"926","USA","MLS",2014,2014-09-07,"Columbus Crew","Chivas USA",3,0,"H","1.34615384615385","0.884615384615385","1.69230769230769","1.30769230769231","10","18","3","1.44","4.9","7.8"
"927","USA","MLS",2014,2014-09-07,"Portland Timbers","San Jose Earthquakes",3,3,"D","1.69230769230769","1.20833333333333","1.375","1.65384615384615","9","17","6","1.7","4.05","5.29"
"928","USA","MLS",2014,2014-09-08,"New England Revolution","Chicago Fire",2,1,"H","1.42307692307692","1.28","1.48","1.42307692307692","9","16","3","2.03","3.36","4.24"
"929","USA","MLS",2014,2014-09-11,"Montreal Impact","Los Angeles Galaxy",2,2,"D","1.11538461538462","2.07692307692308","1.03846153846154","1.84615384615385","19","2","4","5.5","4.39","1.62"
"930","USA","MLS",2014,2014-09-11,"New York Red Bulls","DC United",1,0,"H","1.57692307692308","1.55555555555556","1.11111111111111","1.5","11","3","1","1.78","4.01","4.72"
"931","USA","MLS",2014,2014-09-11,"Vancouver Whitecaps","San Jose Earthquakes",2,0,"H","1.26923076923077","1.28","1.44","1.30769230769231","12","17","2","1.99","3.57","4.12"
"932","USA","MLS",2014,2014-09-13,"Chivas USA","Sporting Kansas City",0,4,"A","0.851851851851852","1.39285714285714","1.21428571428571","1.74074074074074","18","6","4","5.31","3.87","1.73"
"933","USA","MLS",2014,2014-09-13,"Seattle Sounders","Real Salt Lake",3,2,"H","1.84615384615385","1.55555555555556","1.18518518518519","1.34615384615385","1","4","5","2.04","3.32","4.01"
"934","USA","MLS",2014,2014-09-13,"Philadelphia Union","New York Red Bulls",2,2,"D","1.59259259259259","1.55555555555556","1.44444444444444","1.51851851851852","11","8","4","2.47","3.52","2.97"
"935","USA","MLS",2014,2014-09-14,"New England Revolution","Montreal Impact",2,1,"H","1.44444444444444","1.14814814814815","1.85185185185185","1.40740740740741","7","19","3","1.58","4.63","5.67"
"936","USA","MLS",2014,2014-09-14,"Chicago Fire","Toronto FC",1,1,"D","1.26923076923077","1.34615384615385","1.61538461538462","1.5","16","13","2","2.29","3.54","3.22"
"937","USA","MLS",2014,2014-09-14,"FC Dallas","Vancouver Whitecaps",2,1,"H","1.7037037037037","1.2962962962963","1.25925925925926","1.33333333333333","6","10","3","1.71","4","5.25"
"938","USA","MLS",2014,2014-09-14,"Houston Dynamo","Columbus Crew",2,2,"D","1.19230769230769","1.40740740740741","1.25925925925926","1.84615384615385","14","11","4","2.04","3.78","3.69"
"939","USA","MLS",2014,2014-09-14,"Colorado Rapids","Portland Timbers",2,2,"D","1.37037037037037","1.74074074074074","1.7037037037037","1.7037037037037","15","12","4","2.29","3.76","3.1"
"940","USA","MLS",2014,2014-09-14,"San Jose Earthquakes","Los Angeles Galaxy",1,1,"D","1.23076923076923","2.07407407407407","1.07407407407407","1.46153846153846","17","2","2","3.94","3.89","1.94"
"941","USA","MLS",2014,2014-09-20,"Real Salt Lake","Colorado Rapids",5,1,"H","1.57142857142857","1.39285714285714","1.71428571428571","1.25","4","15","6","1.77","3.91","4.9"
"942","USA","MLS",2014,2014-09-20,"Portland Timbers","Vancouver Whitecaps",3,0,"H","1.75","1.28571428571429","1.28571428571429","1.71428571428571","12","11","3","2.19","3.45","3.57"
"943","USA","MLS",2014,2014-09-21,"Philadelphia Union","Houston Dynamo",0,0,"D","1.60714285714286","1.22222222222222","1.85185185185185","1.53571428571429","11","14","0","1.96","3.8","3.96"
"944","USA","MLS",2014,2014-09-21,"Columbus Crew","New England Revolution",1,0,"H","1.42857142857143","1.46428571428571","1.39285714285714","1.28571428571429","10","7","1","2.01","3.62","3.98"
"945","USA","MLS",2014,2014-09-21,"Montreal Impact","San Jose Earthquakes",2,0,"H","1.14285714285714","1.22222222222222","1.44444444444444","1.85714285714286","19","17","2","2.34","3.61","3.11"
"946","USA","MLS",2014,2014-09-21,"New York Red Bulls","Seattle Sounders",4,1,"H","1.57142857142857","1.88888888888889","1.37037037037037","1.46428571428571","9","1","5","2.16","3.57","3.56"
"947","USA","MLS",2014,2014-09-21,"Chicago Fire","DC United",3,3,"D","1.25925925925926","1.5","1.10714285714286","1.48148148148148","16","4","6","2.04","3.56","3.93"
"948","USA","MLS",2014,2014-09-21,"Los Angeles Galaxy","FC Dallas",2,1,"H","2.03571428571429","1.71428571428571","1.32142857142857","1.07142857142857","2","5","3","1.34","5.51","10.47"
"949","USA","MLS",2014,2014-09-21,"Toronto FC","Chivas USA",3,0,"H","1.33333333333333","0.821428571428571","1.82142857142857","1.59259259259259","13","18","3","1.42","4.73","9.09"
"950","USA","MLS",2014,2014-09-25,"FC Dallas","Seattle Sounders",3,1,"H","1.68965517241379","1.85714285714286","1.46428571428571","1.3448275862069","5","2","4","2.64","3.48","2.79"
"951","USA","MLS",2014,2014-09-27,"Sporting Kansas City","New England Revolution",2,3,"A","1.48275862068966","1.41379310344828","1.37931034482759","1.17241379310345","6","7","5","1.71","3.86","5.46"
"952","USA","MLS",2014,2014-09-27,"Toronto FC","Portland Timbers",3,2,"H","1.39285714285714","1.79310344827586","1.6551724137931","1.53571428571429","13","10","5","2.25","3.6","3.3"
"953","USA","MLS",2014,2014-09-27,"DC United","Philadelphia Union",1,0,"H","1.55172413793103","1.55172413793103","1.48275862068966","1.17241379310345","5","11","1","2.66","3.35","2.85"
"954","USA","MLS",2014,2014-09-27,"Seattle Sounders","Chivas USA",4,2,"H","1.82758620689655","0.793103448275862","1.86206896551724","1.51724137931034","2","19","6","1.27","6.33","12.5"
"955","USA","MLS",2014,2014-09-28,"Vancouver Whitecaps","Real Salt Lake",2,1,"H","1.24137931034483","1.68965517241379","1.24137931034483","1.3448275862069","13","4","3","2.02","3.69","3.87"
"956","USA","MLS",2014,2014-09-28,"Columbus Crew","Montreal Impact",2,0,"H","1.41379310344828","1.17241379310345","1.79310344827586","1.24137931034483","9","18","2","1.52","4.72","6.37"
"957","USA","MLS",2014,2014-09-28,"Colorado Rapids","San Jose Earthquakes",1,1,"D","1.37931034482759","1.17857142857143","1.46428571428571","1.82758620689655","16","17","2","1.82","3.88","4.59"
"958","USA","MLS",2014,2014-09-28,"Houston Dynamo","Chicago Fire",2,0,"H","1.17857142857143","1.32142857142857","1.53571428571429","1.78571428571429","14","15","2","2.05","3.7","3.74"
"959","USA","MLS",2014,2014-09-29,"Los Angeles Galaxy","New York Red Bulls",4,0,"H","2.03448275862069","1.6551724137931","1.44827586206897","1.06896551724138","2","9","4","1.52","4.91","6.09"
